1225,750,0
1212,732,0
1216,734,317
1211,739,0
1193,714,0
1189,705,352
1145,726,515
1107,722,535
1076,725,599
1049,712,633
1003,735,661
981,751,727
955,763,754
916,769,813
875,772,873
842,772,915
806,730,956
761,770,1030
684,768,1142
648,811,1120
612,844,1093
599,872,1057
578,887,997
586,889,968
584,961,908
592,977,854
577,1074,784
581,1116,729
645,1133,626
706,1127,548
751,1102,450
801,1071,355
802,1062,349
807,1016,342
854,971,339
933,940,349
983,938,336
1045,886,318
1089,865,317
1128,829,0
1165,785,304
1149,753,358
1187,728,360
1177,678,532
1178,646,539
1153,601,591
1118,580,645
1106,538,708
1089,481,751
1085,429,810
1062,397,890
1026,364,918
991,359,914
1002,350,945
977,346,958
970,355,982
952,369,996
960,358,999
933,370,1021
932,418,1006
905,461,1015
875,490,1026
835,537,1031
802,580,1042
767,620,1045
689,686,1089
634,754,1107
600,796,1083
568,857,1034
555,892,962
543,1008,916
552,1047,868
559,1091,812
549,1113,726
644,1115,625
691,1098,509
762,1083,377
820,1083,371
884,1048,333
908,999,0
966,969,0
999,963,0
1047,919,0
1098,894,0
1142,846,0
1203,781,0
1172,751,312
1151,721,415
1124,681,471
1123,677,531
1108,646,554
1077,610,649
1064,602,675
1048,566,724
1032,509,777
1009,463,850
1006,440,893
983,377,925
952,365,956
935,365,965
912,377,998
904,371,1011
883,360,1051
840,376,1087
833,431,1060
772,499,1082
733,557,1097
682,613,1094
688,653,1074
695,706,1045
700,769,975
708,856,939
716,885,901
724,976,824
714,1043,773
715,1084,709
707,1121,566
739,1085,510
819,1071,450
878,1056,360
925,1042,348
957,1016,351
1009,968,317
1050,925,314
1112,893,0
1174,860,301
1211,819,0
1213,773,402
1197,754,569
1179,711,595
1147,676,633
1134,642,646
1102,627,683
1091,604,772
1072,564,804
1083,508,852
1074,450,894
1035,425,917
998,385,983
975,379,978
957,374,1015
942,368,1034
930,368,1044
904,369,1063
895,430,1042
821,505,1065
719,543,1134
651,619,1147
594,692,1127
571,746,1083
569,790,1030
569,864,964
582,882,927
588,944,865
600,994,796
605,1016,742
594,1057,698
605,1069,632
605,1121,556
670,1120,461
721,1115,415
795,1097,373
849,1090,332
911,1066,304
968,1008,0
1013,982,0
1060,969,0
1103,905,0
1142,862,302
1178,811,0
1229,767,300
1223,739,355
1207,695,387
1192,662,452
1168,632,522
1147,604,575
1130,571,638
1125,523,716
1120,452,781
1103,424,834
1064,376,882
1040,358,865
1039,334,879
1023,350,882
1027,348,884
1022,352,886
1006,336,897
1001,356,940
979,350,952
979,376,959
983,372,965
968,366,982
948,375,1004
937,412,1028
913,404,1044
898,430,1063
889,404,1067
877,420,1096
853,527,1080
802,597,1101
762,645,1112
697,719,1139
631,779,1151
561,826,1122
548,843,1065
544,907,1016
553,1010,987
553,1036,886
543,1057,838
545,1086,762
596,1067,712
670,1077,624
711,1045,511
759,1022,416
789,966,417
799,1000,408
853,938,389
934,903,395
969,862,369
1022,815,367
1047,764,368
1097,735,366
1125,699,381
1151,693,363
1145,658,378
1193,602,468
1197,582,516
1199,544,578
1187,511,579
1172,438,640
1149,378,679
1144,352,691
1141,343,706
1136,360,702
1114,345,702
1117,352,721
1105,355,711
1116,329,701
1113,357,711
1103,350,712
1112,349,706
1099,331,714
1091,363,712
1095,336,706
1087,345,720
1077,366,723
1080,341,730
1094,338,715
1076,362,746
1064,357,742
1063,374,757
1057,362,751
1065,366,766
1057,381,776
1047,374,775
1048,377,793
1029,388,792
1027,385,816
1042,366,826
1041,360,828
1028,384,846
1021,373,837
1014,380,872
1018,371,860
1009,380,873
1004,394,886
998,364,891
993,391,892
975,394,902
982,384,931
974,387,959
964,383,954
962,407,978
954,366,994
955,379,976
959,377,988
951,371,980
937,381,1007
937,403,1030
923,385,1030
915,398,1027
919,406,1002
925,456,975
915,468,991
899,514,996
875,553,996
842,618,996
801,665,996
776,718,1008
726,757,1015
656,817,1036
595,871,1051
557,931,991
555,982,957
570,1019,905
584,1070,870
571,1112,807
634,1130,727
703,1094,627
743,1098,549
753,1084,480
799,1057,452
854,1066,401
906,1051,392
941,1004,370
994,986,344
1043,934,334
1074,908,346
1117,884,0
1167,864,326
1165,828,375
1150,776,416
1124,747,444
1123,719,503
1098,681,541
1084,639,580
1067,619,642
1063,554,711
1046,517,735
1039,497,796
1033,448,834
994,429,933
962,377,945
951,355,947
953,373,970
939,375,965
926,354,993
913,365,998
908,387,1001
894,354,1014
883,401,1025
884,391,1022
875,382,1011
872,389,1046
867,437,1024
840,497,1013
809,576,1035
763,614,1042
720,678,1037
691,728,1024
673,783,1014
668,830,987
676,904,918
689,971,878
693,996,818
688,1031,736
679,1060,672
682,1116,620
676,1117,574
693,1154,496
763,1084,430
847,1058,429
870,1030,395
922,993,367
966,971,380
1027,930,349
1062,923,367
1110,866,365
1166,805,363
1207,790,368
1199,734,392
1193,731,539
1168,712,577
1142,671,607
1097,620,651
1099,614,718
1080,563,758
1066,539,812
1062,475,864
1039,457,915
998,417,915
984,380,962
974,397,948
968,397,960
966,394,961
959,381,968
956,387,976
949,398,996
936,370,1000
925,400,997
922,382,1011
909,408,1029
914,465,993
888,522,1022
844,583,1038
786,637,1086
719,695,1095
635,747,1076
592,841,1082
567,873,1026
580,918,975
578,948,913
590,1008,853
580,1087,816
587,1127,746
610,1132,685
654,1191,612
730,1200,556
786,1153,467
818,1204,413
879,1139,365
925,1099,0
986,1055,0
1035,1039,0
